"CUSTOMER_ID";"FIRST_NAME";"LAST_NAME";"CITY";"STATE";"STREET";"MAIN_PHONE_NUM";"SECONDARY_PHONE_NUM";"FAX";"MONTHLY_DISCOUNT";"PACK_ID";"BIRTH_DATE";"JOIN_DATE"
177;"Cedric";"Clarke";"Cary";"North Carolina";"3694 Battery Street ";"573.985.3508";"946.234.9077";"785.367.9119";7;7;"1987-08-28";"2005-09-11"
178;"Clark";"James";"Orange";"California";"5807 Whipple Avenue";"584.479.8597";"963.400.3385";"723.402.2663";28;0;"2066-04-12";"2005-03-17"
179;"Cortez";"Morgan";"Pasadena";"California";"9107 Post Street ";"592.889.8105";"977.396.2912";"728.328.9797";13;34;"1981-02-16";"2008-12-11"
180;"Kelly";"Hughes";"Fullerton";"California";"8547 Noe Street";"515.675.1257";"979.692.7938";"749.157.6605";9;23;"1979-04-05";"2007-02-01"
181;"Luke";"Edwards";"Hampton";"Virginia";"5991 Ellis Street ";"575.921.3984";"951.451.8404";"744.390.4522";0;27;"2066-10-04";"2007-07-02"
182;"Del03";"Hill";"Clarksville";"Tennessee";"6068 Polk Street ";"540.421.7470";"921.480.6639";"";15;37;"1989-08-07";"2009-07-19"
183;"Roland";"Moore";"McKinney";"Texas";"7921 Brannan Street ";"562.704.7923";"";"728.647.4700";25;0;"2060-07-23";"2008-06-15"
184;"Mike";"Clark";"Warren";"Michigan";"5975 Noe Street";"536.750.3185";"962.419.7991";"769.395.7417";3;39;"2066-01-28";"2009-01-05"
185;"Emory";"Harrison";"McAllen";"Texas";"7424 Halleck Street";"543.717.5373";"987.196.7392";"796.853.1842";9;39;"1981-11-24";"2009-09-20"
186;"Leandro";"Scott";"West Valley City";"Utah";"9005 Boalt Street ";"570.731.2716";"995.548.5645";"710.690.1687";9;39;"1988-03-22";"2009-10-07"
187;"Thomas";"Young";"Columbia";"South Carolina";"3997 Franklin Street";"598.901.1970";"967.130.4544";"746.560.1670";0;37;"1989-06-27";"2009-10-01"
